option_code,trade_date,close,volume,amount,open_interest
90006769.SZ,2025-12-11,0.2008,1.0,0.2008,49.0
90006770.SZ,2025-12-11,0.1798,2.0,0.3568,73.0
90006771.SZ,2025-12-11,0.1454,10.0,1.454,197.0
90006772.SZ,2025-12-11,0.0775,30.0,2.326,177.0
90006773.SZ,2025-12-11,0.0471,23.0,1.1485,68.0
90006774.SZ,2025-12-11,0.1085,1.0,0.1085,54.0
90006777.SZ,2025-12-11,0.2468,23.0,5.4019,134.0
90006778.SZ,2025-12-11,0.2953,1.0,0.2953,44.0
90005549.SZ,2025-12-12,1.3062,9.0,11.935664,461.0
90005553.SZ,2025-12-12,0.93,13.0,12.295689,313.0
90005554.SZ,2025-12-12,0.8344,3.0,2.480784,476.0
90005555.SZ,2025-12-12,0.7225,3.0,2.226451,412.0
90005557.SZ,2025-12-12,0.5366,83.0,44.904384,675.0
90005558.SZ,2025-12-12,0.0001,1622.0,0.164682,11164.0
90005559.SZ,2025-12-12,0.0001,41.0,0.004163,3148.0
90005560.SZ,2025-12-12,0.0001,11.0,0.001117,2098.0
90005561.SZ,2025-12-12,0.0001,141.0,0.026499,2636.0
90005562.SZ,2025-12-12,0.0002,300.0,0.060918,2065.0
90005563.SZ,2025-12-12,0.0002,300.0,0.060918,2746.0
90005564.SZ,2025-12-12,0.0002,380.0,0.077163,2640.0
90005565.SZ,2025-12-12,0.0005,300.0,0.152295,4382.0
90005566.SZ,2025-12-12,0.0004,297.0,0.146,2692.0
90005591.SZ,2025-12-12,0.4407,137.0,60.006362,807.0
90005592.SZ,2025-12-12,0.0006,313.0,0.222757,4851.0
90005607.SZ,2025-12-12,0.3312,227.0,74.550535,666.0
90005608.SZ,2025-12-12,0.0008,1482.0,2.099945,4405.0
90005793.SZ,2025-12-12,0.2341,314.0,74.467077,1026.0
90005794.SZ,2025-12-12,0.0024,2996.0,11.946934,7157.0
90005839.SZ,2025-12-12,0.1419,1361.0,185.550339,5600.0
90005840.SZ,2025-12-12,0.008,9515.0,113.217931,14352.0
90005902.SZ,2025-12-12,0.7915,1.0,0.80361,196.0
90005903.SZ,2025-12-12,0.7078,18.0,12.935125,389.0
90005904.SZ,2025-12-12,0.5873,1.0,0.596286,553.0
90005905.SZ,2025-12-12,0.5,2.0,1.0153,348.0
90005906.SZ,2025-12-12,0.4199,10.0,4.263245,413.0
90005907.SZ,2025-12-12,0.365,20.0,7.41169,638.0
90005908.SZ,2025-12-12,0.278,21.0,5.913818,818.0
90005909.SZ,2025-12-12,0.2255,76.0,17.34772,771.0
90005910.SZ,2025-12-12,0.0042,48174.0,232.977744,20824.0
90005911.SZ,2025-12-12,0.0066,13787.0,101.149669,6198.0
90005912.SZ,2025-12-12,0.0103,2747.0,31.639794,2452.0
90005913.SZ,2025-12-12,0.0167,75.0,1.340399,1119.0
90005914.SZ,2025-12-12,0.025,67.0,1.828352,1123.0
90005915.SZ,2025-12-12,0.0385,245.0,10.220721,1202.0
90005916.SZ,2025-12-12,0.0554,142.0,8.817677,1071.0
90005917.SZ,2025-12-12,0.0894,104.0,9.433761,1102.0
90005918.SZ,2025-12-12,0.1158,100.0,12.248478,1185.0
90005951.SZ,2025-12-12,0.0664,11131.0,694.642167,10960.0
90005952.SZ,2025-12-12,0.0286,7777.0,300.391836,8447.0
90005953.SZ,2025-12-12,0.1707,13.0,2.209496,1688.0
90005954.SZ,2025-12-12,0.1557,163.0,28.19285,1505.0
90006039.SZ,2025-12-12,0.0199,13894.0,293.635421,10279.0
90006040.SZ,2025-12-12,0.0843,3327.0,320.805153,3121.0
90006041.SZ,2025-12-12,0.1312,165.0,20.42215,1359.0
90006042.SZ,2025-12-12,0.2118,161.0,36.41942,709.0
90006079.SZ,2025-12-12,0.005,4720.0,21.803161,11801.0
90006080.SZ,2025-12-12,0.1578,412.0,75.264595,1221.0
90006081.SZ,2025-12-12,0.0979,222.0,20.810096,2403.0
90006082.SZ,2025-12-12,0.3025,53.0,16.266629,1920.0
90006111.SZ,2025-12-12,0.0005,3980.0,1.922267,10303.0
90006112.SZ,2025-12-12,0.4072,506.0,214.608428,1834.0
90006113.SZ,2025-12-12,0.0435,11.0,0.468866,1728.0
90006253.SZ,2025-12-12,0.0007,1318.0,0.991034,6820.0
90006254.SZ,2025-12-12,0.6526,369.0,245.201854,915.0
90006255.SZ,2025-12-12,0.0216,343.0,7.135528,3539.0
90006393.SZ,2025-12-12,0.0004,3783.0,1.658493,4171.0
90006394.SZ,2025-12-12,0.9129,88.0,82.634556,400.0
90006395.SZ,2025-12-12,0.011,237.0,2.527691,1376.0
90006396.SZ,2025-12-12,0.9593,5.0,4.869886,530.0
90006417.SZ,2025-12-12,0.0005,2097.0,0.784218,10843.0
90006419.SZ,2025-12-12,0.006,4421.0,28.789847,3706.0
90006420.SZ,2025-12-12,1.1997,10.0,12.180554,173.0
90006479.SZ,2025-12-12,0.3465,177.0,61.053035,465.0
90006480.SZ,2025-12-12,0.2708,111.0,31.296318,666.0
